Week,Day,Date,Type,Link text,URL
3,2,11-Jun,LectureSlides,Day 6 Notes (annotated),slides/summer24_slides/summer24_session06_day11-12_annotated.pdf


3,3,13-Jun,Video,Lifetime/Scope,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=6fa78f1f-431c-40ea-95e2-ae230027a663
3,3,13-Jun,Video,Structs,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=81f128ab-96f2-433e-b770-ae230027a5f4
3,3,13-Jun,Video,Random number generation,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=e02cd998-bfde-4c4a-977a-ae23002791e7
3,3,13-Jun,Slides,Lifetime/Scope,slides/day13_lifetime_scope.pdf
3,3,13-Jun,Slides,Structs,slides/day13_struct_type.pdf
3,3,13-Jun,Slides,Random number generation,slides/day13_random_numbers.pdf
3,3,13-Jun,Recap,Day 13,questions/day13.html
3,3,13-Jun,Exercise,Exercise 13,exercise/ex13.html
3,3,13-Jun,Video,Binary file I/O,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=9a428f88-2a13-420b-b008-ae230027a35f
3,3,13-Jun,Video,Bitwise operations,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=373770ad-6472-4b72-b789-ae230027a246
3,3,13-Jun,Slides,Binary file I/O,slides/day14_binary_file_io.pdf
3,3,13-Jun,Slides,Bitwise operations,slides/day14_bitwise_operations.pdf
3,3,13-Jun,Recap,Day 14,questions/day14.html
3,3,13-Jun,Exercise,Exercise 14,exercise/ex14.html
3,3,13-Jun,LectureSlides,Day 7 Notes (annotated),slides/summer24_slides/summer24_session07_day13-14_annotated.pdf


4,1,16-Jun,Video,Lifetime/Scope,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=6fa78f1f-431c-40ea-95e2-ae230027a663
4,1,16-Jun,Video,Structs,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=81f128ab-96f2-433e-b770-ae230027a5f4
4,1,16-Jun,Video,Random number generation,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=e02cd998-bfde-4c4a-977a-ae23002791e7
4,1,16-Jun,Slides,Lifetime/Scope,slides/day13_lifetime_scope.pdf
4,1,16-Jun,Slides,Structs,slides/day13_struct_type.pdf
4,1,16-Jun,Slides,Random number generation,slides/day13_random_numbers.pdf
4,1,16-Jun,Recap,Day 13,questions/day13.html
4,1,16-Jun,Exercise,Exercise 13,exercise/ex13.html
4,1,16-Jun,Video,Binary file I/O,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=9a428f88-2a13-420b-b008-ae230027a35f
4,1,16-Jun,Video,Bitwise operations,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=373770ad-6472-4b72-b789-ae230027a246
4,1,16-Jun,Slides,Binary file I/O,slides/day14_binary_file_io.pdf
4,1,16-Jun,Slides,Bitwise operations,slides/day14_bitwise_operations.pdf
4,1,16-Jun,Recap,Day 14,questions/day14.html
4,1,16-Jun,Exercise,Exercise 14,exercise/ex14.html
4,1,16-Jun,LectureSlides,Day 7 Notes (annotated),slides/summer24_slides/summer24_session07_day13-14_annotated.pdf

4,2,18-Jun,Video,"Number representation,<br>type conversion/casting",https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=9ce56b92-a382-468f-8c9e-ae230027a1af
4,2,18-Jun,Slides,"Number representation,<br>type conversion/casting",slides/day15_number_rep_type_conversions.pdf
4,2,18-Jun,Recap,Day 15,questions/day15.html
4,2,18-Jun,Exercise,Exercise 15,exercise/ex15.html
4,2,18-Jun,Slides,"Midterm project overview", slides/summer23_slides/summer23_midterm_project_overview.pdf
4,2,18-Jun,LectureSlides,Day 9 Notes (annotated),slides/summer24_slides/summer24_session09_day15-00_annotated.pdf

4,3,16-Jun,Video,Linked lists,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=254ea75c-12a1-456c-b91d-ae230027a0c6
4,3,16-Jun,Slides,Linked lists,slides/day16_linked_lists.pdf
4,3,16-Jun,Recap,Day 17,questions/day17.html
4,3,16-Jun,Exercise,Exercise 17,exercise/ex17.html
4,3,16-Jun,Video,More Linked lists,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=06994aeb-6743-4fcd-b69f-ae2300279d42
4,3,16-Jun,Slides,More Linked lists,slides/day17_more_linked_lists.pdf
4,3,16-Jun,Recap,Day 18,questions/day18.html
4,3,16-Jun,Exercise,Exercise 18,exercise/ex18.html
4,3,16-Jun,LectureSlides,Day 10 Notes (annotated),slides/summer24_slides/summer24_session10_day17-18_annotated.pdf

5,1,23-Jun,Video,N/A,#
5,1,23-Jun,Slides,N/A,#
5,1,23-Jun,Recap,N/A,#
5,1,23-Jun,LectureSlides,Day 12 Notes (annotated),slides/summer24_slides/summer24_session12_day00-00_annotated.pdf
5,1,23-Jun,Exercise,Midterm Project,assign/midterm.html

5,2,25-Jun,Video,N/A,#
5,2,25-Jun,Slides,N/A,#
5,2,25-Jun,Recap,N/A,#
5,2,25-Jun,Exercise,TBD

5,3,27-Jun,Video,N/A,#
5,3,27-Jun,Slides,N/A,#
5,3,27-Jun,Recap,N/A,#
5,3,27-Jun,Resource,Midterm Review Solutions,resources/MidtermReview-solutions.pdf
5,3,27-Jun,Resource,Fall 2019 Midterm Solutions,resources/Midterm-Fall2019-solutions.pdf
5,3,27-Jun,Exercise,TBD

6,1,30-Jun,Video,Introduction to C++,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=2760c264-312d-49f2-9e43-ae2300279acb
6,1,30-Jun,Video,C++ Strings,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=954ea030-61b3-482d-96e8-ae2300279a4f
6,1,30-Jun,Slides,Introduction to C++,slides/day22_intro_cpp.pdf
6,1,30-Jun,Slides,C++ Strings,slides/day22_cpp_strings.pdf
6,1,30-Jun,Recap,Day 22,questions/day22.html
6,1,30-Jun,LectureSlides,Day 13 Notes (annotated),slides/summer24_slides/summer24_session13_day22-00_annotated.pdf

6,2,2-Jul,Exercise,Midterm Exam,#

7,1,7-Jul,Video,Introduction to STL and templates,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=04905da6-f193-4a6e-9f3e-ae2300279736
7,1,7-Jul,Slides,Introduction to STL and templates,slides/day23_stl_templates.pdf
7,1,7-Jul,Recap,Day 23,questions/day23.html
7,1,7-Jul,Exercise,Exercise 23,exercise/ex23.html
7,1,7-Jul,Video,"STL Containers - map, pair, and tuple",https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=c12342a6-6af3-4859-9da6-ae2300279661
7,1,7-Jul,Video,STL Algorithms,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=c08d312c-963d-485b-84bf-ae23002796be
7,1,7-Jul,Slides,"STL Containers - map, pair, and tuple",slides/day24_more_stl_containers.pdf
7,1,7-Jul,Slides,STL Algorithms,slides/day24_stl_algorithms.pdf
7,1,7-Jul,Recap,Day 24,questions/day24.html
7,1,7-Jul,Exercise,Exercise 24,exercise/ex24.html
7,1,7-Jul,LectureSlides,"Day 15 Notes (annotated)",slides/summer24_slides/summer24_session15_day23-24_annotated.pdf

7,2,9-Jul,Video,C++ I/O stream and stringstream,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=f35cdf8e-80d0-4d88-b9e3-ae2300279562
7,2,9-Jul,Video,Intro to Object Oriented Programming,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=090adf84-0330-4c2f-9c73-ae230027a599
7,2,9-Jul,Slides,C++ I/O stream and stringstream,slides/day25_cpp_file_io_stringstream.pdf
7,2,9-Jul,Slides,Intro to Object Oriented Programming,slides/day25_intro_to_oo.pdf
7,2,9-Jul,Recap,Day 25,questions/day25.html
7,2,9-Jul,Exercise,Exercise 25,exercise/ex25.html
7,2,9-Jul,Video,References,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=4fcd7033-f754-429f-b55b-ae230027a516
7,2,9-Jul,Video,Dynamic Memory Allocation,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=d9978853-6c9b-4cc3-b62d-ae230027a4cc
7,2,9-Jul,Slides,References,slides/day26_cpp_reference.pdf
7,2,9-Jul,Slides,Dynamic Memory Allocation,slides/day26_dynamic_memory_allocation.pdf
7,2,9-Jul,Recap,Day 26,questions/day26.html
7,2,9-Jul,Exercise,Exercise 26,exercise/ex26.html
7,2,9-Jul,LectureSlides,"Day 16 Notes (annotated)",slides/summer24_slides/summer24_session16_day25-26_annotated.pdf

7,3,11-Jul,Video,C++ Classes,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=5a1a7afe-6165-4e33-9567-ae230027a431
7,3,11-Jul,Video,Default Constructors,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=0e485b33-028d-45e6-be18-ae230027a3d3
7,3,11-Jul,Slides,C++ Classes,slides/day27_cpp_classes.pdf
7,3,11-Jul,Slides,Default Constructors,slides/day27_default_constructor.pdf
7,3,11-Jul,Recap,Day 27,questions/day27.html
7,3,11-Jul,Exercise,Exercise 27,exercise/ex27.html
7,3,11-Jul,Video,Constructors and default arguments,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=62080530-d06e-4a0e-be06-ae230027a050
7,3,11-Jul,Video,Destructors,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=2ea9792a-afab-4319-85f1-ae2300279fe3
7,3,11-Jul,Slides,Constructors and default arguments,slides/day28_constructors.pdf
7,3,11-Jul,Slides,Destructors,slides/day28_destructors.pdf
7,3,11-Jul,Recap,Day 28,questions/day28.html
7,3,11-Jul,Exercise,Exercise 28,exercise/ex28.html
7,3,11-Jul,LectureSlides,"Day 17 Notes (annotated)",slides/summer24_slides/summer24_session17_day27-28_annotated.pdf

8,1,14-Jul,Video,Function overloading,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=2c8031d1-8509-4b22-881b-ae2300279f65
8,1,14-Jul,Video,Operator overloading,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=ee4c0ea7-24f8-426a-9291-ae2300279f0e
8,1,14-Jul,Slides,Function overloading,slides/day29_function_overloading.pdf
8,1,14-Jul,Slides,Operator overloading,slides/day29_operator_overloading.pdf
8,1,14-Jul,Recap,Day 29,questions/day29.html
8,1,14-Jul,Exercise,Exercise 29,exercise/ex29.html
8,1,14-Jul,Video,Initialization and assignment,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=f9091b95-ab29-46fe-82b8-ae2300279e93
8,1,14-Jul,Video,Rule of 3,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=181313b7-6b07-400c-addf-ae2300279df3
8,1,14-Jul,Slides,Initialization and assignment,slides/day30_initialization_assignments.pdf
8,1,14-Jul,Slides,Rule of 3,slides/day30_rule_of_3.pdf
8,1,14-Jul,Recap,Day 30,questions/day30.html
8,1,14-Jul,Exercise,Exercise 30,exercise/ex30.html
8,1,14-Jul,LectureSlides,"Day 18 Notes (annotated)",slides/summer24_slides/summer24_session18_day29-30_annotated.pdf


8,2,16-Jul,Video,Template functions,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=fed0c83c-bcd8-4341-8b0e-ae2300279cf6
8,2,16-Jul,Video,Template classes,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=06bf6f38-8f76-4b19-80f4-ae2300279c79
8,2,16-Jul,Slides,Template functions,slides/day31_template_functions.pdf
8,2,16-Jul,Slides,Template classes,slides/day31_template_classes.pdf
8,2,16-Jul,Recap,Day 31,questions/day31.html
8,2,16-Jul,Exercise,Exercise 31,exercise/ex31.html
8,2,16-Jul,Video,Inheritance,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=7cdea279-e109-4ba8-b99d-ae2300279bea
8,2,16-Jul,Video,Polymorphism,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=873d6ec0-a562-47f2-b098-ae2300279b28
8,2,16-Jul,Slides,Inheritance,slides/day32_inheritance.pdf
8,2,16-Jul,Slides,Polymorphism,slides/day32_polymorphism.pdf
8,2,16-Jul,Recap,Day 32,questions/day32.html
8,2,16-Jul,Exercise,Exercise 32,exercise/ex32.html
8,2,16-Jul,LectureSlides,"Day 19 Notes (annotated)",slides/summer24_slides/summer24_session19_day31-32_annotated.pdf

8,3,18-Jul,Video,Dynamic dispatch,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=162dba01-3c6a-4358-8179-ae23002799fe
8,3,18-Jul,Video,Function hiding and abstract classes,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=0e849f80-9dec-47c1-aaac-ae2300279986
8,3,18-Jul,Video,Virtual destructors,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=5d6fdb70-910c-4823-b4a0-ae23002797a1
8,3,18-Jul,Slides,Dynamic dispatch,slides/day33_dynamic_dispatch.pdf
8,3,18-Jul,Slides,Function hiding and abstract classes,slides/day33_function_hiding_abstract_classes.pdf
8,3,18-Jul,Slides,Virtual destructors,slides/day33_virtual_destructors.pdf
8,3,18-Jul,Recap,Day 33,questions/day33.html
8,3,18-Jul,Exercise,Exercise 33,exercise/ex33.html
8,3,18-Jul,Video,OO Design & UML Diagrams,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=2edb2b97-e40e-4200-94ce-ae23002790c9
8,3,18-Jul,Slides,OO Design & UML Diagrams,slides/day34_oo_design_uml.pdf
8,3,18-Jul,Recap,Day 34,questions/day34.html
8,3,18-Jul,Exercise,Work on final project,#
8,3,18-Jul,LectureSlides,"Day 20 Notes (annotated)",slides/summer24_slides/summer24_session20_day33-34_annotated.pdf

9,1,21-Jul,Video,Enumerated Types,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=00c8e477-aa8e-4357-bd0e-ae230027992c
9,1,21-Jul,Video,Exceptions,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=7e2654d0-197a-49fb-8d90-ae23002798b8
9,1,21-Jul,Video,Customized Exceptions,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=53afa435-461a-4814-bfc2-ae2300279850
9,1,21-Jul,Slides,Enumerated Types,slides/day35_enum.pdf
9,1,21-Jul,Slides,Exceptions,slides/day35_exceptions.pdf
9,1,21-Jul,Slides,Customized Exceptions,slides/day35_customized_exceptions.pdf
9,1,21-Jul,Recap,Day 35,questions/day35.html
9,1,21-Jul,Exercise,Exercise 35,exercise/ex35.html
9,1,21-Jul,Exercise,Work on final project,#
